round,accuracy,reward
1,0.5,0.6020512679967054
2,0.5,0.1102885533172934
3,0.5,0.10577060866696425
4,0.5,0.09725252613595864
5,0.5,0.09750307408850259
6,0.5,0.10100964038029574
7,0.5,0.09402931274785362
8,0.5,0.09993969080506745
9,0.5,0.11124649085920581
10,0.5,0.1006682234173387
11,0.5,0.0898455316874992
12,0.5,0.0985392996551305
13,0.5,0.09500858618637135
14,0.5,0.09419546339483457
15,0.5,0.0990542435763127
16,0.5,0.09284418969375625
17,0.5,0.09797838857746334
18,0.5,0.10492423644368819
19,0.5,0.10523721532741337
20,0.5,0.09784974076376185
